x,y,desc,confidence
840.0,846.0,Hallclgzle,0.00021144239872228354
778.0,852.0,renurinn,0.005047036800533533
840.0,858.0,Pug aalng=,1.783754122186565e-08
778.0,862.0,aruslu41:1,9.754673197664987e-13
841.0,883.0,Puble,0.38645827770233154
841.0,894.0,apalnaljee,8.910673386708368e-06
717.0,903.0,HANCI,0.942866325378418
841.0,930.0,arln?suuns,4.870421843605754e-10
841.0,955.0,Flcls&,0.048354968428611755
777.0,958.0,asagnrn,5.46342448615178e-07
778.0,966.0,frnenlnial,6.495648463555881e-11
840.0,966.0,psurgalulnier,9.46682803260046e-08
43.0,981.0,Key,0.7094447612762451
840.0,992.0,Ejll,0.005319666583091021
107.0,997.0,High commitment,0.6532031893730164
840.0,1002.0,rpglnlage,6.49334197078133e-07
117.0,1013.0,Verylow commitment,0.16362737119197845
185.0,1049.0,Fig 3. Nutrltlon Commltment Index (NCI) Scores,0.1793312132358551
822.5,1090.0,www hancindex.org,0.7989478707313538
750.0,1157.0,ID,0.6854996681213379
825.0,1173.0,Institute of,0.9584625363349915
860.5,1189.0,Development Studies,0.7895190119743347
781.0,1248.0,Irish Aid,0.7524423003196716
765.0,1275.0,Rialtas na hLircann,0.10581107437610626
895.0,1276.0,uKald,0.9497687816619873
43.0,1277.0,Key,0.7094447612762451
812.0,1291.0,Ireland,0.5141528248786926
749.0,1292.0,trnralllnrlert,6.913596778401754e-11
107.0,1293.0,High commitment,0.6532031893730164
909.0,1304.0,Hnlanrraarl,1.5606187844241504e-06
117.0,1309.0,Verylow commitment,0.16362737119197845
